89556311,922,-5849
89556386,922,-5849
89556456,922,-5849
89556527,922,-5849
89557344,922,-5849
89558906,922,-5850
89560989,922,-5851
89562552,922,-5852
89564114,922,-5853
89566197,922,-5855
89567761,922,-5857
89569323,922,-5859
89571406,922,-5862
89572969,922,-5865
89574531,922,-5867
89576614,922,-5871
89578177,922,-5874
89579740,922,-5878
89581822,922,-5882
89583385,922,-5886
89584948,922,-5889
89587031,922,-5894
89588593,922,-5898
89590157,922,-5902
89592239,922,-5907
89593801,922,-5911
89595365,922,-5915
89597447,922,-5921
89599010,922,-5925
89600573,922,-5930
89602656,922,-5936
89604217,922,-5940
89605781,922,-5945
89607865,922,-5951
89609427,922,-5956
89610989,922,-5961
89613072,922,-5967
89614635,922,-5972
89616198,921,-5977
89618281,921,-5984
89619844,921,-5989
89621407,921,-5995
89623491,921,-6002
89625052,921,-6007
89626615,921,-6012
89628698,921,-6020
89630260,921,-6025
89631822,921,-6031
89633906,921,-6038
89635468,921,-6044
89637032,921,-6049
89639114,921,-6057
89640676,921,-6063
89642239,921,-6069
89644322,921,-6076
89645885,921,-6082
89647448,921,-6088
89649530,921,-6096
89651094,920,-6102
89652656,920,-6108
89654739,920,-6116
89656302,920,-6122
89657864,920,-6128
89659947,920,-6136
89661511,920,-6142
89663073,920,-6148
89665156,920,-6156
89666718,919,-6162
89668282,919,-6168
89670364,919,-6176
89671926,919,-6182
89673489,918,-6188
89675573,918,-6197
89677135,918,-6203
89678699,917,-6209
89680781,917,-6217
89682343,916,-6224
89683906,916,-6230
89685988,915,-6239
89687552,915,-6245
89689114,914,-6252
89691197,914,-6260
89692761,913,-6267
89694323,912,-6273
89696406,912,-6282
89697968,911,-6288
89699532,910,-6295
89701614,909,-6303
89703177,908,-6310
89704741,907,-6316
89706822,906,-6325
89708386,905,-6332
89709948,904,-6338
89712032,903,-6347
89713593,902,-6354
89715155,901,-6360
89717241,899,-6369
89718803,898,-6376
89720365,897,-6383
89722449,895,-6392
89724011,894,-6398
89725573,892,-6405
89727657,890,-6414
89729220,889,-6421
89730782,887,-6427
89732866,885,-6436
89734428,884,-6443
89735990,882,-6450
89738073,880,-6459
89739637,878,-6466
89741199,876,-6472
89743281,874,-6481
89744845,872,-6488
89746407,870,-6495
89748490,867,-6504
89750052,866,-6511
89751616,864,-6518
89753698,861,-6527
89755261,859,-6534
89756825,856,-6541
89758907,854,-6550
89760470,852,-6557
89762033,849,-6563
89764115,846,-6573
89765678,844,-6580
89767241,841,-6587
89769323,838,-6596
89770886,835,-6603
89772449,832,-6610
89774532,829,-6619
89776094,826,-6626
89777657,823,-6633
89779741,819,-6643
89781303,816,-6649
89782865,813,-6656
89784950,809,-6666
89786512,806,-6673
89788075,803,-6680
89790157,799,-6689
89791719,796,-6696
89793282,792,-6703
89795365,788,-6712
89796928,784,-6719
89798490,781,-6726
89800574,776,-6735
89802136,773,-6742
89803699,769,-6749
89805782,764,-6758
89807345,761,-6765
89808907,757,-6772
89810990,752,-6781
89812554,748,-6789
89814117,744,-6796
89816198,740,-6805
89817762,736,-6812
89819324,732,-6819
89821406,727,-6828
89822970,723,-6835
89824533,719,-6842
89826615,714,-6852
89828178,710,-6859
89829742,706,-6866
89831823,701,-6875
89833386,697,-6882
89834949,693,-6889
89837033,687,-6899
89838594,684,-6906
89840158,679,-6913
89842240,674,-6922
89843804,670,-6930
89845367,665,-6937
89847448,660,-6946
89849012,655,-6953
89850574,651,-6960
89852658,645,-6970
89854219,641,-6977
89855783,636,-6984
89857865,631,-6993
89859428,626,-7000
89860992,622,-7008
89863074,616,-7017
89864636,612,-7024
89866199,607,-7031
89868282,601,-7041
89869844,596,-7048
89871407,592,-7055
89873491,586,-7065
89875053,581,-7072
89876616,576,-7079
89878699,570,-7088
89880262,565,-7096
89881824,561,-7103
89883907,554,-7112
89885469,550,-7119
89887033,545,-7127
89889115,538,-7136
89890679,533,-7143
89892241,528,-7150
89894323,522,-7160
89895887,517,-7167
89897449,512,-7174
89899532,505,-7184
89901094,500,-7191
89902658,495,-7198
89904740,489,-7208
89906302,484,-7215
89907866,478,-7222
89909948,472,-7232
89911511,467,-7239
89913074,462,-7246
89915157,454,-7256
89916719,449,-7263
89918282,444,-7270
89920364,437,-7280
89921928,432,-7287
89923491,427,-7294
89925573,420,-7304
89927135,415,-7311
89928700,410,-7318
89930782,402,-7328
89932344,397,-7335
89933908,392,-7342
89935989,385,-7352
89937553,379,-7359
89939116,374,-7366
89941198,367,-7376
89942761,361,-7383
89944324,356,-7390
89946407,348,-7400
89947969,343,-7407
89949533,337,-7414
89951615,330,-7424
89953178,324,-7431
89954741,319,-7438
89956824,312,-7448
89958386,306,-7455
89959948,300,-7462
89962032,293,-7472
89963594,287,-7479
89965159,281,-7487
89967240,274,-7496
